Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
China,CHN,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,26.85208,26.99571,27.13934,30.99202,34.84471,38.6974,42.55009,46.40278,48.5665,50.73022,52.89394,55.05766,57.22138,58.91181,60.60224,62.29268,63.98311,65.67354,66.36715,67.06076,67.75437,68.44798,69.14159,69.61957,70.09756,70.57555,71.05353,71.53152,71.72948,71.92745,72.12541,72.32338,72.52134,72.92842,73.33551,73.74259,74.14967,74.55675,75.45157,76.34639,77.24121,78.13602,79.03084,79.46117,79.89149,80.32182,80.75215,81.18248,81.46437,81.74627,82.02817,82.31006,82.59196,82.82922,83.06647,83.30372,..
China,CHN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.52548646,3.78557264,4.0245977,4.33385163,4.48787053,4.59690987,4.55782328,4.78507297,4.82123292,4.72284375,4.65846996,4.52241742,4.31833293,4.58905193,5.07535532,4.88633979,5.02886408,5.26451547,5.38570406,5.54822768,..,..
China,CHN,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.84,..,..,..,..,0.912,0.934,0.955,0.966,0.98,0.992,1.083,0.965,0.975,1.002,1.028,1.081,1.175,1.258,1.383,1.519,1.655,1.85,..,..,..,..
Chile,CHL,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.8797553893109,..,..,41.2561616145696,..,23.6404420351347,..,44.5999186791447,..,..,..
Chile,CHL,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.4576011138467,..,..,36.8672578549365,..,15.6268408771399,..,43.1592187072627,..,..,..
Chile,CHL,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5,..,..,7.9,..,4.6,..,4.9,..,3.4,..,3.5,..,4.3,..,..,4,..,..,2.3,..,..,2.6,..,1.6,..,0.9,..,1.3,..
Chile,CHL,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.5,..,..,38.8,..,33.9,..,31,..,30.3,..,27.5,..,23.7,..,..,19.9,..,..,51.8,..,..,43.6,..,37.7,..,27.9,..,..,..
Chile,CHL,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.6,..,..,38.5,..,32.7,..,27,..,22,..,20.7,..,19.7,..,..,18.5,..,..,25.8,..,..,22.6,..,19.9,..,12.4,..,..,..
Chile,CHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,8.1,7.1,6.3,5.8,5.5,5.3,5.2,5.1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,..
Chile,CHL,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.5,17.9,16.5,15.3,14.2,13.2,12.4,11.7,11.2,10.7,10.4,10.1,10,9.9,9.9,9.9,9.9,10.1,10.2,10.4,10.7,11.1,11.6,12.2,13,13.9,15
Chile,CHL,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.3999996185303,..,..,..,..,..,..,..,10.1000003814697,10.8999996185303,10.6999998092651,..,11.1999998092651,11.8999996185303,..,12.8999996185303,12,12.1000003814697,12.1000003814697,..,11.6999998092651,9.80000019073486,9.5,..,..,..,..,10.1000003814697,9.30000019073486,..,..
Chile,CHL,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.10000038146973,..,..,..,..,9.5,8.69999980926514,..,..
Chile,CHL,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.80000019073486,..,..,..,..,10.6999998092651,10,..,..
Chile,CHL,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..,1441.3,1371.7,1574.7,1677.3,1691.9,1897.4,1951.6,1945.5,1671.6,1902.3,1994.4,1860.4,1683.3,1881,1722.9,1451,2130,1732.8,2191.5,2059.3,2120.5,2203.6,2261.5,2704.1,2949.1,3355.3,3222.6,3531.6,3914.7,3619.7,4050.9,4177.4,4246,4489.3,4472.5,4264.3,4507.5,5052,4061.1,4362.1,4935.7,5183.3,5390,5657.5,5811.2,5998.3,5744.3,5844.4,5462.3,6815.4,6927.8,6229.6,6913.2,6128.4,..,..
Chile,CHL,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57,52,48,45,43,41,39,36,34,34,31,32,29,29,29,27,28,29,28,27,26,25,24,23,23,22,..
Chile,CHL,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.48097706052795,3.32079914548103,3.16062123043412,3.0004433153872,2.84026540034029,2.68008748529337,2.51990957024651,2.3597316551996,2.19955374015268,2.03937582510577,1.87919791005885,1.71901999501193,1.55884207996502,1.3986641649181,1.23848624987119,1.0677201541583,..
Chile,CHL,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.25038568207213,2.10190216811895,1.95341865416577,1.80493514021259,1.65645162625941,1.50796811230623,1.35948459835311,1.21100108439993,1.06251757044674,0.914034056493563,0.765550542540382,0.617067028587201,0.468583514634076,0.319767781317903,0,0,..
Chile,CHL,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.42177014334968,2.26812314892182,2.11460434214912,1.96128369936193,1.80813368513239,1.65515114197222,1.5023445166429,1.34969881351828,1.19719950474841,1.04485503709473,0.89266225306894,0.740595956123413,0.588664593019626,0.436558314842624,0.131824476436289,0.111790300140374,..
Chile,CHL,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,59.0917,59.769,60.4463,61.17663,61.90695,62.63728,63.36761,64.09794,65.07545,66.05296,67.03047,68.00799,68.9855,70.06428,71.14305,72.22183,73.3006,74.37938,75.34626,76.31314,77.28002,78.2469,79.21377,79.75797,80.30216,80.84635,81.39054,81.93473,82.39665,82.85858,83.32051,83.78243,84.24436,84.64309,85.04183,85.44056,85.8393,86.23804,86.51609,86.79414,87.07219,87.35024,87.62829,87.68873,87.74916,87.80959,87.87003,87.93046,87.98792,88.04538,88.10283,88.16029,88.21775,88.38105,88.54434,88.70764,..
Chile,CHL,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,47.6601,48.01731,48.37453,48.91807,49.46161,50.00516,50.5487,51.09225,51.94053,52.78882,53.6371,54.48539,55.33367,56.3284,57.32313,58.31786,59.31259,60.30733,61.29944,62.29155,63.28367,64.27578,65.2679,66.2644,67.2609,68.2574,69.2539,70.25041,71.08168,71.91295,72.74422,73.57549,74.40677,74.87265,75.33854,75.80442,76.27031,76.7362,77.13277,77.52935,77.92593,78.32251,78.71909,79.04166,79.36422,79.68679,80.00936,80.33192,80.61613,80.90034,81.18455,81.46876,81.75297,82.09728,82.44158,82.78588,..
Chile,CHL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.15357961,5.65542143,5.77650605,6.23410258,6.39504662,6.39554049,6.50868916,6.47573804,7.33944363,6.93393245,6.69119625,6.18107636,6.34524532,6.8683536,7.39252832,6.96860594,7.00457914,7.23794642,7.5312947,7.78585767,..,..
Chile,CHL,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.542,..,..,..,..,..,..,..,..,..,0.115,0.131,0.131,0.131,0.143,0.141,0.147,0.145,..,..,..,..,..,..,..
Czech Republic,CZE,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Czech Republic,CZE,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0,..,..,0.1,..,..,..,..,..,..,..,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,..,..
